,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
316,Dean Meminger,1972,1977,4,268,4959,616,1233,,,276,452,137,721,427,70,9,,424,1508,.500,,.611,18.5,5.6,2.7,1.6,meminde01
317,Joe Meriweather,1979,1980,2,106,2618,410,790,0,1,153,230,203,575,114,60,173,197,417,973,.519,,.665,24.7,9.2,5.4,1.1,meriwjo01
318,Eddie Miles,1972,1972,1,42,198,23,64,,,16,18,,16,17,,,,46,62,.359,,.889,4.7,1.5,0.4,0.4,milesed01
319,Darko Miličić,2010,2010,1,8,71,8,17,0,0,0,0,5,18,4,4,1,2,7,16,.471,,,8.9,2.0,2.3,0.5,milicda01
320,Nat Militzok,1947,1947,1,36,,52,214,,,40,73,,,28,,,,91,144,.243,,.548,,4.0,,0.8,militna01
321,Chris Mills,1998,1998,1,80,2183,292,675,40,137,152,189,120,408,133,45,30,107,218,776,.433,.292,.804,27.3,9.7,5.1,1.7,millsch01
322,Wat Misaka,1948,1948,1,3,,3,13,,,1,3,,,0,,,,7,7,.231,,.333,,2.3,,0.0,misakwa01
323,Nazr Mohammed,2004,2005,2,81,2192,342,652,0,1,152,230,246,646,42,86,78,122,254,836,.525,.000,.661,27.1,10.3,8.0,0.5,mohamna01
324,Wayne Molis,1967,1967,1,13,75,19,51,,,7,13,,22,2,,,,9,45,.373,,.538,5.8,3.5,1.7,0.2,moliswa01
325,Earl Monroe,1972,1980,9,598,17552,3971,8302,0,0,1737,2117,260,1573,2087,473,121,305,1386,9679,.478,,.821,29.4,16.2,2.6,3.5,monroea01
326,Matt Mooney,2022,2022,1,1,2,0,1,0,1,0,0,0,0,0,1,0,1,0,0,.000,.000,,2.0,0.0,0.0,0.0,moonema01
327,Marcus Morris,2020,2020,1,43,1387,281,636,116,264,163,198,48,233,59,34,17,73,128,841,.442,.439,.823,32.3,19.6,5.4,1.4,morrima03
328,Randolph Morris,2007,2008,2,23,225,22,64,0,0,16,35,13,46,3,6,3,11,41,60,.344,,.457,9.8,2.6,2.0,0.1,morrira01
329,Timofey Mozgov,2011,2011,1,34,458,52,112,0,0,31,44,41,104,15,14,23,32,76,135,.464,,.705,13.5,4.0,3.1,0.4,mozgoti01
