,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
436,Brodric Thomas,2022,2022,1,12,60,8,18,2,9,3,5,2,10,11,1,1,6,7,21,.444,.222,.600,5.0,1.8,0.8,0.9,thomabr01
437,Isaiah Thomas,2015,2017,3,179,5758,1390,3140,460,1250,1182,1330,96,492,1070,173,22,484,379,4422,.443,.368,.889,32.2,24.7,2.7,6.0,thomais02
438,Jamel Thomas,2000,2000,1,3,19,5,10,0,1,1,1,0,2,2,0,0,1,0,11,.500,.000,1.000,6.3,3.7,0.7,0.7,thomaja01
439,John Thomas,1998,1998,1,33,368,41,80,0,0,26,33,32,70,13,19,9,33,65,108,.513,,.788,11.2,3.3,2.1,0.4,thomajo02
440,John Thompson,1965,1966,2,74,771,98,239,,,66,111,,260,19,,,,156,262,.410,,.595,10.4,3.5,3.5,0.3,thompjo01
441,Tristan Thompson,2021,2021,1,54,1287,169,326,0,3,71,120,169,439,67,24,33,62,119,409,.518,.000,.592,23.8,7.6,8.1,1.2,thomptr01
442,Marcus Thornton,2015,2015,1,39,640,127,305,52,124,42,51,19,73,34,21,7,22,35,348,.416,.419,.824,16.4,8.9,1.9,0.9,thornma01
443,Darren Tillis,1983,1983,1,15,44,7,23,0,1,2,6,4,9,2,0,2,4,8,16,.304,.000,.333,2.9,1.1,0.6,0.1,tillida01
444,Lou Tsioropoulos,1957,1959,3,157,2977,337,1070,,,236,329,,751,165,,,,451,910,.315,,.717,19.0,5.8,4.8,1.1,tsiorlo01
445,Andre Turner,1987,1987,1,3,18,2,5,0,1,0,0,1,2,1,0,0,5,1,4,.400,.000,,6.0,1.3,0.7,0.3,turnean01
446,Evan Turner,2015,2016,2,163,4531,663,1499,53,202,254,320,90,814,808,163,47,367,319,1633,.442,.262,.794,27.8,10.0,5.0,5.0,turneev01
447,Wayne Turner,2000,2000,1,3,41,1,6,0,0,2,6,1,3,5,0,0,3,4,4,.167,,.333,13.7,1.3,1.0,1.7,turnewa01
448,Kelvin Upshaw,1989,1990,2,37,604,85,188,4,15,18,26,9,49,125,21,4,54,81,192,.452,.267,.692,16.3,5.2,1.3,3.4,upshake01
449,Jarvis Varnado,2013,2013,1,5,18,2,4,0,0,2,4,1,3,1,1,0,1,1,6,.500,,.500,3.6,1.2,0.6,0.2,varnaja01
450,Virgil Vaughn,1947,1947,1,17,,15,78,,,15,28,,,10,,,,18,45,.192,,.536,,2.6,,0.6,vaughvi01
451,Sam Vincent,1986,1987,2,103,806,119,298,1,4,116,125,16,75,128,30,5,82,92,355,.399,.250,.928,7.8,3.4,0.7,1.2,vincesa01
452,Noah Vonleh,2023,2023,1,23,171,11,24,1,4,2,2,18,48,7,2,8,11,35,25,.458,.250,1.000,7.4,1.1,2.1,0.3,vonleno01
453,Stojko Vranković,1991,1992,2,50,276,39,84,0,0,17,30,23,79,9,1,46,34,65,95,.464,,.567,5.5,1.9,1.6,0.2,vrankst01
454,Von Wafer,2011,2011,1,58,553,67,159,18,67,32,38,7,49,35,18,5,20,39,184,.421,.269,.842,9.5,3.2,0.8,0.6,wafervo01
455,Moritz Wagner,2021,2021,1,9,61,4,14,2,6,1,2,3,19,6,0,1,9,10,11,.286,.333,.500,6.8,1.2,2.1,0.7,wagnemo01
456,Antoine Walker,1997,2005,8,552,21654,4390,10627,937,2815,1669,2523,1319,4782,2266,828,317,1782,1717,11386,.413,.333,.662,39.2,20.6,8.7,4.1,walkean02
457,Brady Walker,1950,1951,2,85,,231,616,,,77,123,,31,117,,,,111,539,.375,,.626,,6.3,1.8,1.4,walkebr01
458,Henry Walker,2009,2010,2,37,245,39,64,0,1,18,25,8,34,16,6,2,20,55,96,.609,.000,.720,6.6,2.6,0.9,0.4,walkebi01
459,Kemba Walker,2020,2021,2,99,3111,662,1565,307,826,343,391,52,387,480,96,40,205,152,1974,.423,.372,.877,31.4,19.9,3.9,4.8,walkeke02
460,Gerald Wallace,2014,2015,2,90,1702,130,264,20,67,53,116,53,269,154,88,18,115,98,333,.492,.299,.457,18.9,3.7,3.0,1.7,wallage01
461,Rasheed Wallace,2010,2010,1,79,1780,266,650,82,290,96,125,42,325,80,80,70,63,222,710,.409,.283,.768,22.5,9.0,4.1,1.0,wallara01
462,Red Wallace,1947,1947,1,24,,55,224,,,21,48,,,20,,,,42,131,.246,,.438,,5.5,,0.8,wallare01
463,Bill Walton,1986,1987,2,90,1658,241,437,0,0,152,217,147,575,174,39,116,166,233,634,.551,,.700,18.4,7.0,6.4,1.9,waltobi01
464,Brad Wanamaker,2019,2020,2,107,1712,212,467,53,141,150,164,25,185,235,73,16,95,167,627,.454,.376,.915,16.0,5.9,1.7,2.2,wanambr01
465,Gerry Ward,1965,1965,1,3,30,2,18,,,1,1,,5,6,,,,6,5,.111,,1.000,10.0,1.7,1.7,2.0,wardge01
466,Kermit Washington,1978,1978,1,32,866,137,263,,,102,136,105,335,42,28,40,54,114,376,.521,,.750,27.1,11.8,10.5,1.3,washike01
467,Tremont Waters,2020,2021,2,37,357,48,133,19,62,24,25,5,33,78,25,3,42,30,139,.361,.306,.960,9.6,3.8,0.9,2.1,watertr01
468,Ron Watts,1966,1967,2,28,92,12,46,,,16,23,,39,2,,,,17,40,.261,,.696,3.3,1.4,1.4,0.1,wattsro01
469,Marcus Webb,1993,1993,1,9,51,13,25,0,1,13,21,5,10,2,1,2,5,11,39,.520,.000,.619,5.7,4.3,1.1,0.2,webbma01
470,Scott Wedman,1983,1987,5,271,4026,757,1630,38,107,137,190,196,573,281,110,47,179,434,1689,.464,.355,.721,14.9,6.2,2.1,1.0,wedmasc01
471,Rick Weitzman,1968,1968,1,25,75,12,46,,,9,13,,10,8,,,,8,33,.261,,.692,3.0,1.3,0.4,0.3,weitzri01
472,Jiří Welsch,2004,2005,2,136,3304,399,932,101,280,262,347,80,435,267,140,12,187,281,1161,.428,.361,.755,24.3,8.5,3.2,2.0,welscji01
473,Matt Wenstrom,1994,1994,1,11,37,6,10,0,0,6,10,6,12,0,0,2,4,7,18,.600,,.600,3.4,1.6,1.1,0.0,wenstma01
474,David Wesley,1995,1997,3,207,6475,922,2023,270,677,513,670,166,645,1193,344,33,457,572,2627,.456,.399,.766,31.3,12.7,3.1,5.8,wesleda01
475,Delonte West,2005,2011,4,203,5597,760,1676,185,496,286,340,109,599,750,199,98,327,447,1991,.453,.373,.841,27.6,9.8,3.0,3.7,westde01
476,Paul Westphal,1973,1975,3,224,3228,669,1357,,,298,395,93,373,475,117,67,,453,1636,.493,,.754,14.4,7.3,1.7,2.1,westppa01
477,Skippy Whitaker,1955,1955,1,3,15,1,6,,,0,0,,1,1,,,,4,2,.167,,,5.0,0.7,0.3,0.3,whitask01
