,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
25,Mel Bennett,1977,1978,2,98,1196,124,375,,,140,232,159,330,92,48,40,30,209,388,.331,,.603,12.2,4.0,3.4,0.9,benneme01
26,Travis Best,1996,2002,7,469,10327,1405,3181,193,533,806,982,158,846,1785,488,39,682,1156,3809,.442,.362,.821,22.0,8.1,1.8,3.8,besttr01
27,Goga Bitadze,2020,2023,4,170,1963,311,648,55,215,144,212,189,482,133,49,149,103,300,821,.480,.256,.679,11.5,4.8,2.8,0.8,bitadgo01
28,Bojan Bogdanović,2018,2019,2,161,5037,926,1903,319,772,424,510,63,603,280,124,9,240,267,2595,.487,.413,.831,31.3,16.1,3.7,1.7,bogdabo02
29,Etdrick Bohannon,1998,1998,1,5,11,0,4,0,0,0,0,2,6,1,0,2,3,3,0,.000,,,2.2,0.0,1.2,0.2,bohanet01
30,Ron Bonham,1968,1968,1,42,426,80,210,0,2,85,105,,57,14,,,32,36,245,.381,.000,.810,10.1,5.8,1.4,0.3,bonharo01
31,Trevor Booker,2018,2018,1,17,269,39,84,3,14,10,11,32,77,17,4,5,9,26,91,.464,.214,.909,15.8,5.4,4.5,1.0,booketr01
32,Brian Bowen,2020,2021,2,12,46,4,14,0,3,1,1,1,10,0,0,1,1,4,9,.286,.000,1.000,3.8,0.8,0.8,0.0,bowenbr02
33,Dudley Bradley,1980,1981,2,164,3894,540,1168,4,21,261,352,139,416,440,397,85,288,430,1345,.462,.190,.741,23.7,8.2,2.5,2.7,bradldu01
34,Brad Branson,1983,1983,1,62,680,131,308,0,1,76,108,73,173,46,27,26,45,81,338,.425,.000,.704,11.0,5.5,2.8,0.7,bransbr01
35,Jamison Brewer,2002,2004,3,36,283,24,57,5,17,5,15,9,28,44,11,1,19,23,58,.421,.294,.333,7.9,1.6,0.8,1.2,breweja01
36,Primož Brezec,2002,2004,3,62,343,41,93,0,1,31,51,34,66,13,2,14,19,57,113,.441,.000,.608,5.5,1.8,1.1,0.2,brezepr01
37,Amida Brimah,2021,2021,1,5,29,5,8,0,0,3,3,2,8,1,0,5,4,4,13,.625,,1.000,5.8,2.6,1.6,0.2,brimaam01
38,Oshae Brissett,2021,2023,3,153,3166,404,976,164,470,268,374,199,691,134,96,62,98,227,1240,.414,.349,.717,20.7,8.1,4.5,0.9,brissos01
39,Malcolm Brogdon,2020,2022,3,146,4802,1013,2267,278,790,462,530,137,741,922,114,39,323,279,2766,.447,.352,.872,32.9,18.9,5.1,6.3,brogdma01
40,Aaron Brooks,2017,2017,1,65,894,121,300,48,128,32,40,18,69,125,25,9,66,93,322,.403,.375,.800,13.8,5.0,1.1,1.9,brookaa01
41,Michael Brooks,1987,1987,1,10,148,13,37,0,0,7,10,9,28,11,9,0,11,19,33,.351,,.700,14.8,3.3,2.8,1.1,brookmi01
42,Kendall Brown,2023,2023,1,6,40,4,7,0,1,1,2,2,6,3,4,0,2,9,9,.571,.000,.500,6.7,1.5,1.0,0.5,brownke03
43,Roger Brown,1968,1975,8,559,20315,3699,7852,280,883,2380,3006,975,3609,2214,63,61,1414,1849,10058,.471,.317,.792,36.3,18.0,6.5,4.0,brownro01
44,Tony Brown,1985,1985,1,82,1586,214,465,0,6,116,171,146,288,159,59,12,116,212,544,.460,.000,.678,19.3,6.6,3.5,1.9,brownto01
45,Quinn Buckner,1986,1986,1,32,419,49,104,0,1,19,27,9,51,86,40,3,55,80,117,.471,.000,.704,13.1,3.7,1.6,2.7,bucknqu01
46,Chase Budinger,2016,2016,1,49,729,81,194,20,69,34,48,31,121,49,29,9,31,46,216,.418,.290,.708,14.9,4.4,2.5,1.0,budinch01
47,Don Buse,1973,1982,7,539,15681,1641,3785,243,709,620,791,486,1635,2737,1177,117,528,961,4145,.434,,.784,29.1,7.7,3.0,5.1,busedo01
48,Rasual Butler,2014,2014,1,50,378,51,110,26,62,8,14,6,41,17,7,9,11,30,136,.464,.419,.571,7.6,2.7,0.8,0.3,butlera01
49,Andrew Bynum,2014,2014,1,2,36,9,22,0,0,5,7,6,19,2,0,1,4,3,23,.409,,.714,18.0,11.5,9.5,1.0,bynuman01
50,Marty Byrnes,1983,1983,1,80,1436,157,374,6,26,71,95,75,191,179,41,6,73,149,391,.420,.231,.747,18.0,4.9,2.4,2.2,byrnema01
51,Adrian Caldwell,1996,1996,1,51,327,46,83,0,0,18,36,42,110,6,9,5,35,73,110,.554,,.500,6.4,2.2,2.2,0.1,caldwad01
52,Corky Calhoun,1979,1980,2,88,1362,157,344,0,0,72,88,71,248,104,39,19,57,195,386,.456,,.818,15.5,4.4,2.8,1.2,calhoco01
53,Larry Cannon,1972,1974,2,31,504,70,182,1,6,52,74,16,36,75,0,0,45,63,193,.385,.167,.703,16.3,6.2,1.2,2.4,cannola01
54,Bob Carrington,1978,1978,1,35,621,96,197,,,58,74,28,62,62,22,11,52,73,250,.487,,.784,17.7,7.1,1.8,1.8,carribo01
55,Butch Carter,1982,1984,3,229,4796,955,1970,40,122,318,402,162,382,460,240,37,313,528,2268,.485,.328,.791,20.9,9.9,1.7,2.0,cartebu01
56,Ron Carter,1980,1980,1,13,117,15,37,0,0,2,7,5,19,9,2,3,10,19,32,.405,,.286,9.0,2.5,1.5,0.7,cartero01
57,Ahmad Caver,2022,2022,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1.000,,,1.0,2.0,0.0,0.0,caverah01
58,Wayne Chapman,1971,1972,2,29,268,37,96,5,11,27,35,14,36,32,,,21,41,106,.385,.455,.771,9.2,3.7,1.2,1.1,chapmwa01
59,Phil Chenier,1980,1980,1,23,380,52,135,2,6,18,26,9,35,47,15,10,26,29,124,.385,.333,.692,16.5,5.4,1.5,2.0,cheniph01
60,Rakeem Christmas,2016,2017,2,30,225,21,45,0,0,21,29,27,57,4,3,6,8,38,63,.467,,.724,7.5,2.1,1.9,0.1,chrisra01
61,Steve Chubin,1969,1970,2,56,1106,142,338,3,10,179,222,63,136,194,,,149,177,466,.420,.300,.806,19.8,8.3,2.4,3.5,chubist01
62,Darren Collison,2011,2019,4,284,8399,1252,2690,250,617,614,719,143,822,1517,338,52,519,470,3368,.465,.405,.854,29.6,11.9,2.9,5.3,collida01
63,Leroy Combs,1984,1984,1,48,446,81,163,0,3,56,91,19,56,38,23,18,46,49,218,.497,.000,.615,9.3,4.5,1.2,0.8,combsle01
64,Lester Conner,1994,1994,1,11,169,14,38,0,3,3,6,10,24,31,14,1,9,12,31,.368,.000,.500,15.4,2.8,2.2,2.8,connele01
