,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
10,Kyle Anderson,2019,2022,4,248,5982,824,1734,163,489,300,431,227,1300,723,269,176,281,451,2111,.475,.333,.696,24.1,8.5,5.2,2.9,anderky01
11,Nick Anderson,2002,2002,1,15,219,21,76,13,48,5,9,1,33,14,6,6,14,17,60,.276,.271,.556,14.6,4.0,2.2,0.9,anderni01
12,Greg Anthony,1996,1997,2,134,3959,523,1288,178,509,359,475,54,358,883,245,15,289,259,1583,.406,.350,.756,29.5,11.8,2.7,6.6,anthogr01
13,Robert Archibald,2003,2003,1,12,72,6,20,0,0,7,18,6,17,3,0,3,7,9,19,.300,,.389,6.0,1.6,1.4,0.3,archiro01
14,Gilbert Arenas,2012,2012,1,17,211,26,64,13,39,7,10,2,18,18,11,1,12,35,72,.406,.333,.700,12.4,4.2,1.1,1.1,arenagi01
15,Darrell Arthur,2009,2013,4,247,4500,726,1565,5,27,199,270,328,967,144,142,162,200,620,1656,.464,.185,.737,18.2,6.7,3.9,0.6,arthuda01
16,Chucky Atkins,2006,2007,2,118,3225,470,1114,180,488,359,443,29,214,475,79,6,184,230,1479,.422,.369,.810,27.3,12.5,1.8,4.0,atkinch01
17,Isaac Austin,2001,2002,2,73,1152,132,362,6,27,32,44,61,293,71,29,28,65,130,302,.365,.222,.727,15.8,4.1,4.0,1.0,austiis01
18,Anthony Avent,1996,1996,1,71,1586,179,466,0,0,57,77,108,355,69,30,42,107,202,415,.384,,.740,22.3,5.8,5.0,1.0,aventan01
19,Wade Baldwin,2017,2017,1,33,405,36,115,3,22,31,37,11,46,61,18,7,39,40,106,.313,.136,.838,12.3,3.2,1.4,1.8,baldwwa01
20,Desmond Bane,2021,2023,3,202,5626,1192,2539,511,1201,361,409,120,835,580,189,67,296,471,3256,.469,.425,.883,27.9,16.1,4.1,2.9,banede01
21,Matt Barnes,2016,2016,1,76,2190,264,693,119,370,111,138,84,420,163,78,57,121,234,758,.381,.322,.804,28.8,10.0,5.5,2.1,barnema02
22,Mike Batiste,2003,2003,1,75,1248,197,467,18,81,69,88,82,257,52,42,16,69,120,481,.422,.222,.784,16.6,6.4,3.4,0.7,batismi01
23,Shane Battier,2002,2011,6,419,13339,1546,3408,403,1062,780,1045,764,2000,716,523,428,460,1064,4275,.454,.379,.746,31.8,10.2,4.8,1.7,battish01
24,Jerryd Bayless,2013,2014,2,111,2415,350,860,96,284,147,179,30,235,330,79,22,142,240,943,.407,.338,.821,21.8,8.5,2.1,3.0,bayleje01
25,Jordan Bell,2020,2020,1,2,21,3,7,2,3,2,2,2,3,2,1,0,3,2,10,.429,.667,1.000,10.5,5.0,1.5,1.0,belljo01
26,Troy Bell,2004,2004,1,6,34,4,18,0,4,3,3,3,4,4,1,0,6,6,11,.222,.000,1.000,5.7,1.8,0.7,0.7,belltr01
27,Benoit Benjamin,1996,1996,1,13,404,71,161,0,0,39,56,31,103,16,10,15,34,40,181,.441,,.696,31.1,13.9,7.9,1.2,benjabe01
28,Mike Bibby,1999,2001,3,214,8103,1244,2793,200,571,465,607,150,746,1675,317,32,641,441,3153,.445,.350,.766,37.9,14.7,3.5,7.8,bibbymi01
29,Avery Bradley,2019,2019,1,14,442,87,188,28,73,23,25,8,44,56,14,0,28,34,225,.463,.384,.920,31.6,16.1,3.1,4.0,bradlav01
30,Ronnie Brewer,2010,2010,1,5,80,3,13,0,0,4,5,1,7,3,6,0,2,0,10,.231,,.800,16.0,2.0,1.4,0.6,brewero02
31,Dillon Brooks,2018,2023,6,345,9888,1875,4510,573,1675,679,854,253,1073,735,325,98,540,1143,5002,.416,.342,.795,28.7,14.5,3.1,2.1,brookdi01
32,MarShon Brooks,2018,2019,2,36,580,127,271,34,86,43,56,20,66,50,20,7,37,39,331,.469,.395,.768,16.1,9.2,1.8,1.4,brookma01
33,Andre Brown,2008,2008,1,33,286,39,78,0,0,22,49,37,92,8,7,4,14,38,100,.500,,.449,8.7,3.0,2.8,0.2,brownan01
34,Kwame Brown,2008,2008,1,15,204,19,39,0,0,14,34,20,57,17,6,4,14,24,52,.487,,.412,13.6,3.5,3.8,1.1,brownkw01
35,Shaq Buchanan,2022,2022,1,2,10,1,4,0,2,0,0,1,2,2,1,0,2,1,2,.250,.000,,5.0,1.0,1.0,1.0,buchash01
36,Greg Buckner,2009,2009,1,63,878,61,159,13,51,20,25,32,130,57,29,8,38,108,155,.384,.255,.800,13.9,2.5,2.1,0.9,buckngr01
37,Rodney Buford,2002,2002,1,63,1769,258,593,17,70,58,80,52,272,71,42,12,63,110,591,.435,.243,.725,28.1,9.4,4.3,1.1,buforro01
38,Antonio Burks,2005,2006,2,81,789,79,204,4,17,24,42,5,49,104,33,1,48,70,186,.387,.235,.571,9.7,2.3,0.6,1.3,burksan01
39,Bruno Caboclo,2019,2020,2,56,992,124,294,52,155,44,53,59,202,60,24,45,45,104,344,.422,.335,.830,17.7,6.1,3.6,1.1,cabocbr01
40,Nick Calathes,2014,2015,2,129,2011,246,558,30,104,68,117,42,243,353,129,13,162,217,590,.441,.288,.581,15.6,4.6,1.9,2.7,calatni01
41,Brian Cardinal,2005,2008,4,159,2588,291,754,100,279,215,254,113,435,200,143,22,156,341,897,.386,.358,.846,16.3,5.6,2.7,1.3,cardibr01
42,Rodney Carney,2011,2011,1,2,5,1,3,0,1,0,0,1,1,0,1,0,0,0,2,.333,.000,,2.5,1.0,0.5,0.0,carnero01
43,Antoine Carr,2000,2000,1,21,221,28,64,0,0,11,14,8,32,7,3,6,9,42,67,.438,,.786,10.5,3.2,1.5,0.3,carran01
