,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
260,Corliss Williamson,2001,2001,1,42,886,153,325,0,2,84,130,57,153,33,15,13,65,98,390,.471,.000,.646,21.1,9.3,3.6,0.8,willico02
261,Kevin Willis,1999,2001,3,156,3666,547,1285,1,7,322,400,378,1055,137,83,97,224,468,1417,.426,.143,.805,23.5,9.1,6.8,0.9,willike02
262,D.J. Wilson,2022,2022,1,4,54,11,15,0,2,8,10,1,16,5,5,1,2,6,30,.733,.000,.800,13.5,7.5,4.0,1.3,wilsodj01
263,Loren Woods,2005,2006,2,72,1036,99,223,0,2,40,73,125,330,21,17,62,53,127,238,.444,.000,.548,14.4,3.3,4.6,0.3,woodslo01
264,Haywoode Workman,2000,2000,1,13,102,8,28,3,14,1,2,0,9,17,9,0,4,14,20,.286,.214,.500,7.8,1.5,0.7,1.3,workmha01
265,Antoine Wright,2010,2010,1,67,1392,162,399,58,173,53,77,38,190,71,30,11,58,134,435,.406,.335,.688,20.8,6.5,2.8,1.1,wrighan01
266,Delon Wright,2016,2019,4,172,3005,413,921,101,286,218,268,108,408,398,153,62,156,172,1145,.448,.353,.813,17.5,6.7,2.4,2.3,wrighde01
267,Julian Wright,2011,2011,1,52,766,82,160,2,10,22,43,47,118,58,39,20,43,45,188,.513,.200,.512,14.7,3.6,2.3,1.1,wrighju01
268,Sharone Wright,1996,1998,3,78,1351,233,545,1,4,120,210,104,252,43,21,60,123,191,587,.428,.250,.571,17.3,7.5,3.2,0.6,wrighsh01
269,Thaddeus Young,2022,2023,2,80,1270,175,342,23,77,31,53,111,281,120,85,16,64,131,404,.512,.299,.585,15.9,5.1,3.5,1.5,youngth01
