,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
186,Shaquille O'Neal,2005,2008,4,205,6378,1612,2703,0,0,786,1708,621,1856,437,86,384,564,765,4010,.596,,.460,31.1,19.6,9.1,2.1,onealsh01
187,Greg Oden,2014,2014,1,23,212,27,49,0,0,13,23,23,54,1,7,13,12,52,67,.551,,.565,9.2,2.9,2.3,0.0,odengr01
188,Lamar Odom,2004,2004,1,80,3003,485,1127,61,205,340,458,160,776,327,85,71,236,273,1371,.430,.298,.742,37.5,17.1,9.7,4.1,odomla01
189,Alan Ogg,1991,1992,2,74,628,70,139,0,2,22,40,45,123,9,11,55,27,126,162,.504,.000,.550,8.5,2.2,1.7,0.1,oggal01
190,KZ Okpala,2020,2022,3,63,717,69,170,21,77,17,28,33,114,34,16,19,21,86,176,.406,.273,.607,11.4,2.8,1.8,0.5,okpalkz01
191,Victor Oladipo,2021,2023,3,54,1390,211,519,89,265,85,116,22,165,188,69,15,117,125,596,.407,.336,.733,25.7,11.0,3.1,3.5,oladivi01
192,Kelly Olynyk,2018,2021,4,265,6048,923,1974,391,1076,403,499,249,1372,554,200,121,387,701,2640,.468,.363,.808,22.8,10.0,5.2,2.1,olynyke01
193,Billy Owens,1995,1996,2,110,3684,642,1293,2,28,306,490,297,788,380,110,52,317,337,1592,.497,.071,.624,33.5,14.5,7.2,3.5,owensbi01
194,Smush Parker,2008,2008,1,9,183,17,54,6,24,3,4,2,19,15,5,3,8,13,43,.315,.250,.750,20.3,4.8,2.1,1.7,parkesm01
195,Gary Payton,2006,2007,2,149,3808,374,913,98,353,138,183,52,365,458,114,13,168,286,984,.410,.278,.754,25.6,6.6,2.4,3.1,paytoga01
196,Kirk Penney,2004,2004,1,2,18,1,6,1,3,0,0,0,1,1,1,0,3,1,3,.167,.333,,9.0,1.5,0.5,0.5,penneki01
197,Wesley Person,2005,2005,1,16,206,25,57,8,21,4,4,1,22,11,6,0,7,6,62,.439,.381,1.000,12.9,3.9,1.4,0.7,persowe01
198,Ed Pinckney,1997,1997,1,27,273,23,43,0,0,20,25,25,65,6,8,9,19,30,66,.535,,.800,10.1,2.4,2.4,0.2,pincked01
199,Dexter Pittman,2011,2013,3,41,324,48,102,0,0,18,28,32,81,9,8,8,21,79,114,.471,,.643,7.9,2.8,2.0,0.2,pittmde01
200,Dave Popson,1989,1989,1,7,38,5,15,0,0,1,2,7,11,2,0,1,4,8,11,.333,,.500,5.4,1.6,1.6,0.3,popsoda01
201,Terry Porter,1999,1999,1,50,1365,172,370,58,141,123,148,13,140,146,48,11,74,97,525,.465,.411,.831,27.3,10.5,2.8,2.9,portete01
202,James Posey,2006,2007,2,138,3833,345,827,214,549,129,159,99,676,183,125,43,113,389,1033,.417,.390,.811,27.8,7.5,4.9,1.3,poseyja01
203,Kasib Powell,2008,2008,1,11,304,35,95,8,33,6,9,8,44,18,9,2,5,18,84,.368,.242,.667,27.6,7.6,4.0,1.6,powelka01
204,Kevin Pritchard,1995,1995,1,14,158,13,29,2,5,15,17,0,11,23,2,1,7,19,43,.448,.400,.882,11.3,3.1,0.8,1.6,pritcke01
205,Chris Quinn,2007,2009,3,168,2710,324,793,140,353,157,193,25,223,375,85,6,109,201,945,.409,.397,.813,16.1,5.6,1.3,2.2,quinnch01
206,Shavlik Randolph,2010,2010,1,3,47,5,15,0,0,0,0,7,13,0,1,1,2,9,10,.333,,,15.7,3.3,4.3,0.0,randosh01
207,Willie Reed,2017,2017,1,71,1031,162,285,1,4,49,88,129,332,26,18,47,31,137,374,.568,.250,.557,14.5,5.3,4.7,0.4,reedwi02
208,Khalid Reeves,1995,1995,1,67,1462,206,465,67,171,140,196,52,186,288,77,10,132,139,619,.443,.392,.714,21.8,9.2,2.8,4.3,reevekh01
209,Terrence Rencher,1996,1996,1,34,397,32,99,9,29,30,43,9,42,54,16,1,41,36,103,.323,.310,.698,11.7,3.0,1.2,1.6,renchte01
210,Glen Rice,1990,1995,6,478,17059,3604,7844,708,1832,1332,1595,536,2363,1067,572,159,864,1174,9248,.459,.386,.835,35.7,19.3,4.9,2.2,ricegl01
211,Josh Richardson,2016,2019,4,259,7949,1147,2696,419,1138,421,513,179,823,742,296,173,353,638,3134,.425,.368,.821,30.7,12.1,3.2,2.9,richajo01
212,Quentin Richardson,2010,2010,1,76,2082,242,561,142,358,52,71,64,374,93,70,18,62,169,678,.431,.397,.732,27.4,8.9,4.9,1.2,richaqu01
213,Duncan Robinson,2019,2023,5,281,7323,1034,2413,825,2070,213,246,51,773,409,139,53,243,663,3106,.429,.399,.866,26.1,11.1,2.8,1.5,robindu01
214,Jamal Robinson,2001,2001,1,6,72,3,22,0,2,0,0,3,11,2,6,0,3,7,6,.136,.000,,12.0,1.0,1.8,0.3,robinja03
215,Orlando Robinson,2023,2023,1,31,425,47,89,0,6,22,31,48,126,25,12,12,16,53,116,.528,.000,.710,13.7,3.7,4.1,0.8,robinor01
