,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
372,Robert Smith,1983,1983,1,7,25,5,11,0,1,2,2,0,3,2,1,0,3,6,12,.455,.000,1.000,3.6,1.7,0.4,0.3,smithro01
373,Steve Smith,2002,2003,2,130,3243,423,973,155,364,254,295,66,292,221,82,24,151,237,1255,.435,.426,.861,24.9,9.7,2.2,1.7,smithst01
374,Mike Smrek,1989,1989,1,43,623,72,153,0,0,49,76,42,129,12,13,58,48,102,193,.471,,.645,14.5,4.5,3.0,0.3,smrekmi01
375,Jeremy Sochan,2023,2023,1,56,1458,250,552,33,134,81,116,95,295,142,43,23,97,138,614,.453,.246,.698,26.0,11.0,5.3,2.5,sochaje01
376,Felton Spencer,2000,2000,1,26,149,15,33,0,0,20,30,15,39,3,6,8,9,32,50,.455,,.667,5.7,1.9,1.5,0.1,spencfe01
377,Tiago Splitter,2011,2015,5,311,6157,978,1746,0,6,620,899,523,1637,389,177,196,354,606,2576,.560,.000,.690,19.8,8.3,5.3,1.3,splitti01
378,Damon Stoudamire,2008,2008,1,31,413,43,143,14,55,6,8,6,47,53,11,2,30,30,106,.301,.255,.750,13.3,3.4,1.5,1.7,stoudda01
379,Rod Strickland,1990,1992,3,146,5250,787,1680,18,57,434,624,196,617,1203,292,34,401,336,2026,.468,.316,.696,36.0,13.9,4.2,8.2,stricro02
380,John Stroeder,1989,1989,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,,,,2.0,0.0,0.0,0.0,stroejo01
381,Jon Sundvold,1986,1988,3,198,3939,761,1606,97,273,152,180,56,226,759,96,2,239,273,1771,.474,.355,.844,19.9,8.9,1.1,3.8,sundvjo01
382,Greg Sutton,1992,1992,1,67,601,93,240,26,89,34,45,6,47,91,26,9,70,111,246,.388,.292,.756,9.0,3.7,0.7,1.4,suttogr01
383,Skeeter Swift,1973,1974,2,58,1276,200,441,20,61,144,169,25,98,165,3,0,149,166,564,.454,.328,.852,22.0,9.7,1.7,2.8,swiftsk01
384,Levern Tart,1971,1971,1,33,821,165,409,6,25,96,120,51,133,101,,,80,87,432,.403,.240,.800,24.9,13.1,4.0,3.1,tartle01
385,Collis Temple,1975,1975,1,24,102,17,41,0,1,8,10,14,31,15,4,4,12,29,42,.415,.000,.800,4.3,1.8,1.3,0.6,templco01
386,Garrett Temple,2010,2011,2,16,214,29,69,10,24,14,23,4,16,14,9,3,12,27,82,.420,.417,.609,13.4,5.1,1.0,0.9,templga01
387,Chuck Terry,1974,1975,2,140,2279,280,607,4,10,75,94,144,383,141,55,8,70,285,639,.461,.400,.798,16.3,4.6,2.7,1.0,terrych01
388,David Thirdkill,1985,1985,1,2,52,5,11,0,0,5,6,5,7,3,2,1,2,5,15,.455,,.833,26.0,7.5,3.5,1.5,thirdda01
389,Kurt Thomas,2008,2009,2,107,1928,209,429,0,3,51,69,170,543,80,55,72,60,227,469,.487,.000,.739,18.0,4.4,5.1,0.7,thomaku01
390,Malcolm Thomas,2012,2014,2,4,30,1,7,0,0,1,4,2,12,1,1,3,1,0,3,.143,,.250,7.5,0.8,3.0,0.3,thomama01
391,Mychal Thompson,1987,1987,1,49,1210,230,528,1,1,144,196,91,276,87,31,41,77,117,605,.436,1.000,.735,24.7,12.3,5.6,1.8,thompmy01
392,Anthony Tolliver,2009,2009,1,19,208,19,65,9,41,5,10,12,41,17,5,1,7,16,52,.292,.220,.500,10.9,2.7,2.2,0.9,tollian01
