,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
26,MarJon Beauchamp,2023,2023,1,52,701,96,243,47,142,27,37,38,115,35,21,7,45,71,266,.395,.331,.730,13.5,5.1,2.2,0.7,beaucma01
27,Charlie Bell,2006,2010,5,350,9153,1177,2837,432,1186,378,491,172,791,842,297,30,351,734,3164,.415,.364,.770,26.2,9.0,2.3,2.4,bellch01
28,DeAndre' Bembry,2022,2022,1,8,77,3,8,0,0,0,0,4,11,6,2,0,1,9,6,.375,,,9.6,0.8,1.4,0.8,bembrde01
29,Dragan Bender,2020,2020,1,7,91,10,21,4,9,2,3,0,20,9,0,5,5,16,26,.476,.444,.667,13.0,3.7,2.9,1.3,bendedr01
30,Benoit Benjamin,1996,1996,1,70,1492,223,429,0,3,101,138,110,436,48,35,70,110,184,547,.520,.000,.732,21.3,7.8,6.2,0.7,benjabe01
31,Kent Benson,1978,1980,3,207,4809,846,1702,0,1,338,483,372,1212,430,212,209,381,635,2030,.497,,.700,23.2,9.8,5.9,2.1,bensoke01
32,Del Beshore,1979,1979,1,1,1,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,beshode01
33,Steve Blake,2007,2007,1,33,583,45,129,19,68,11,20,7,45,84,10,3,28,49,120,.349,.279,.550,17.7,3.6,1.4,2.5,blakest01
34,Eric Bledsoe,2018,2020,3,210,6157,1256,2623,319,939,587,753,173,921,1119,318,95,519,463,3418,.479,.340,.780,29.3,16.3,4.4,5.3,bledser01
35,John Block,1972,1972,1,79,1524,233,530,,,206,275,,410,95,,,,213,672,.440,,.749,19.3,8.5,5.2,1.2,blockjo01
36,Keith Bogans,2009,2009,1,29,485,56,149,32,92,31,33,16,91,33,20,2,22,44,175,.376,.348,.939,16.7,6.0,3.1,1.1,boganke01
37,Andrew Bogut,2006,2012,7,408,13340,2220,4250,1,22,738,1285,1148,3810,950,283,642,813,1334,5179,.522,.045,.574,32.7,12.7,9.3,2.3,bogutan01
38,Joel Bolomboy,2018,2018,1,6,38,3,6,0,1,3,6,6,10,0,2,0,2,3,9,.500,.000,.500,6.3,1.5,1.7,0.0,bolomjo01
39,Calvin Booth,2005,2005,1,17,189,15,29,0,0,12,16,13,49,4,4,12,8,23,42,.517,,.750,11.1,2.5,2.9,0.2,boothca01
40,Bob Boozer,1971,1971,1,80,1775,290,645,,,148,181,,435,128,,,,216,728,.450,,.818,22.2,9.1,5.4,1.6,boozebo01
41,Earl Boykins,2007,2011,2,92,2016,323,743,81,200,170,196,41,131,300,69,3,120,104,897,.435,.405,.867,21.9,9.8,1.4,3.3,boykiea01
42,Dudley Bradley,1987,1988,2,70,905,76,214,13,51,47,58,31,103,67,105,8,34,120,212,.355,.255,.810,12.9,3.0,1.5,1.0,bradldu01
43,Terrell Brandon,1998,1999,2,65,2289,424,939,38,121,158,187,34,229,491,135,20,181,145,1044,.452,.314,.845,35.2,16.1,3.5,7.6,brandte01
44,Tim Breaux,1998,1998,1,6,30,4,11,1,3,1,2,0,2,2,2,1,1,1,10,.364,.333,.500,5.0,1.7,0.3,0.3,breauti01
