,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
37,Bob Bigelow,1976,1978,3,61,332,52,118,,,39,50,19,61,17,7,2,0,37,143,.441,,.780,5.4,2.3,1.0,0.3,bigelbo01
38,Otis Birdsong,1978,1981,4,308,10195,2702,5263,20,71,1115,1585,535,1118,890,428,69,697,832,6539,.513,,.703,33.1,21.2,3.6,2.9,birdsot01
39,Nemanja Bjelica,2019,2021,3,175,4238,667,1396,254,635,171,218,260,1002,399,124,98,209,461,1759,.478,.400,.784,24.2,10.1,5.7,2.3,bjeline01
40,Tom Black,1971,1971,1,16,100,10,33,,,6,15,,34,2,,,,20,26,.303,,.400,6.3,1.6,2.1,0.1,blackto01
41,John Block,1973,1974,2,107,2260,355,814,,,228,282,129,509,113,68,35,,298,938,.436,,.809,21.1,8.8,4.8,1.1,blockjo01
42,Bucky Bockhorn,1959,1965,7,474,14791,2245,5574,,,940,1256,,2234,1645,,,,1565,5430,.403,,.748,31.2,11.5,4.7,3.5,bockhbu01
43,Bogdan Bogdanović,2018,2020,3,209,5888,1042,2401,427,1142,320,397,97,673,732,208,46,344,447,2831,.434,.374,.806,28.2,13.5,3.2,3.5,bogdabo01
44,Anthony Bonner,1991,1993,3,183,4801,626,1385,1,11,338,558,439,1101,270,219,48,279,439,1591,.452,.091,.606,26.2,8.7,6.0,1.5,bonnean01
45,Ron Boone,1977,1978,2,164,5674,1310,2848,,,646,761,240,590,649,224,30,303,491,3266,.460,,.849,34.6,19.9,3.6,4.0,boonero01
46,Calvin Booth,2009,2009,1,7,55,5,10,0,0,6,8,4,10,0,1,2,1,10,16,.500,,.750,7.9,2.3,1.4,0.0,boothca01
47,Bob Boozer,1961,1964,4,269,7276,1239,2865,,,755,1091,,2348,374,,,,850,3233,.432,,.692,27.0,12.0,8.7,1.4,boozebo01
48,Michael Bradley,2005,2005,1,8,48,8,12,0,0,2,6,5,11,2,0,0,3,8,18,.667,,.333,6.0,2.3,1.4,0.3,bradlmi01
49,Mike Bratz,1986,1986,1,33,269,26,70,4,14,14,18,2,23,39,13,0,17,43,70,.371,.286,.778,8.2,2.1,0.7,1.2,bratzmi01
50,Randy Breuer,1994,1994,1,26,247,8,26,0,1,3,14,15,56,8,6,19,9,30,19,.308,.000,.214,9.5,0.7,2.2,0.3,breuera01
51,Corey Brewer,2019,2020,2,29,385,35,78,10,31,23,33,24,67,31,24,5,13,54,103,.449,.323,.697,13.3,3.6,2.3,1.1,breweco01
52,Jon Brockman,2010,2010,1,52,654,55,103,0,0,37,62,105,213,22,15,5,23,115,147,.534,,.597,12.6,2.8,4.1,0.4,brockjo01
53,Price Brookfield,1950,1950,1,7,,11,23,,,12,13,,,1,,,,7,34,.478,,.923,,4.9,,0.1,brookpr01
54,Aaron Brooks,2013,2013,1,46,959,139,303,48,127,40,52,12,78,108,29,7,63,89,366,.459,.378,.769,20.8,8.0,1.7,2.3,brookaa01
55,Bobby Brown,2009,2009,1,47,675,94,247,31,94,26,34,8,36,87,15,1,47,74,245,.381,.330,.765,14.4,5.2,0.8,1.9,brownbo02
56,Chucky Brown,2002,2002,1,18,92,10,27,0,0,1,2,10,33,6,2,4,5,12,21,.370,,.500,5.1,1.2,1.8,0.3,brownch01
57,Randy Brown,1992,1995,4,259,4388,536,1193,16,63,261,384,165,501,521,305,79,315,559,1349,.449,.254,.680,16.9,5.2,1.9,2.0,brownra02
58,Joe Buckhalter,1962,1963,2,65,740,153,339,,,69,110,,265,43,,,,124,375,.451,,.627,11.4,5.8,4.1,0.7,buckhjo01
59,Rodney Buford,2004,2004,1,22,141,19,56,0,2,3,6,6,15,7,6,1,4,9,41,.339,.000,.500,6.4,1.9,0.7,0.3,buforro01
60,Alec Burks,2019,2019,1,13,127,9,20,0,6,4,5,2,22,10,8,1,4,7,22,.450,.000,.800,9.8,1.7,1.7,0.8,burksal01
61,Tom Burleson,1978,1980,3,169,2724,421,971,0,3,341,457,277,835,201,96,152,212,491,1183,.434,,.746,16.1,7.0,4.9,1.2,burleto01
62,Evers Burns,1994,1994,1,23,143,22,55,0,0,12,23,13,30,9,6,3,7,33,56,.400,,.522,6.2,2.4,1.3,0.4,burnsev01
63,Bob Burrow,1957,1957,1,67,1028,137,366,,,130,211,,293,41,,,,165,404,.374,,.616,15.3,6.0,4.4,0.6,burrobo01
64,Deonte Burton,2023,2023,1,2,6,0,2,0,1,0,0,0,0,0,0,0,0,0,0,.000,.000,,3.0,0.0,0.0,0.0,burtode02
65,Don Buse,1984,1985,2,141,2266,232,555,49,146,86,110,50,177,506,124,2,132,137,599,.418,.336,.782,16.1,4.2,1.3,3.6,busedo01
66,Caron Butler,2016,2016,1,17,176,25,59,3,18,10,12,5,22,10,9,1,3,19,63,.424,.167,.833,10.4,3.7,1.3,0.6,butleca01
67,Bruno Caboclo,2018,2018,1,10,100,9,29,3,15,5,6,7,21,3,2,4,4,7,26,.310,.200,.833,10.0,2.6,2.1,0.3,cabocbr01
68,Bill Calhoun,1949,1951,3,184,,528,1463,,,382,562,,199,339,,,,284,1438,.361,,.680,,7.8,3.0,1.8,calhobi01
69,Rick Calloway,1991,1991,1,64,678,75,192,0,2,55,79,25,78,61,22,7,51,98,205,.391,.000,.696,10.6,3.2,1.2,1.0,callori01
70,Antoine Carr,1990,1991,2,110,3451,856,1701,0,6,453,585,228,593,257,60,135,242,434,2165,.503,.000,.774,31.4,19.7,5.4,2.3,carran01
71,Vince Carter,2018,2018,1,58,1026,114,283,57,165,28,37,18,148,69,42,26,36,96,313,.403,.345,.757,17.7,5.4,2.6,1.2,cartevi01
72,Omri Casspi,2010,2017,5,306,7326,1086,2384,325,840,440,646,281,1416,392,205,57,365,524,2937,.456,.387,.681,23.9,9.6,4.6,1.3,casspom01
73,Sid Catlett,1972,1972,1,9,40,2,9,,,2,9,,4,1,,,,3,6,.222,,.222,4.4,0.7,0.4,0.1,catlesi01
74,Willie Cauley-Stein,2016,2019,4,295,7090,1246,2334,4,18,475,777,531,1879,483,274,228,308,705,2971,.534,.222,.611,24.0,10.1,6.4,1.6,caulewi01
75,Duane Causwell,1991,1997,7,429,8340,920,1783,2,7,531,851,717,2009,229,203,695,431,1257,2373,.516,.286,.624,19.4,5.5,4.7,0.5,causwdu01
76,Len Chappell,1967,1968,2,64,594,107,254,,,47,70,,166,26,,,,79,261,.421,,.671,9.3,4.1,2.6,0.4,chapple01
77,Pete Chilcutt,1992,1994,3,174,2625,430,918,2,3,86,126,258,652,173,97,66,151,288,948,.468,.667,.683,15.1,5.4,3.7,1.0,chilcpe01
78,Cal Christensen,1953,1955,3,200,3635,323,930,,,330,581,,982,265,,,,518,976,.347,,.568,18.2,4.9,4.9,1.3,chrisca01
79,Doug Christie,2001,2005,5,355,12223,1316,2972,316,872,825,956,328,1523,1505,717,161,685,866,3773,.443,.362,.863,34.4,10.6,4.3,4.2,chrisdo01
80,Keon Clark,2003,2003,1,80,1780,226,451,0,4,84,128,138,451,80,38,150,94,227,536,.501,.000,.656,22.3,6.7,5.6,1.0,clarkke01
81,Mateen Cleaves,2002,2003,2,44,208,36,91,3,9,11,13,2,16,35,9,0,41,15,86,.396,.333,.846,4.7,2.0,0.4,0.8,cleavma01
82,Jack Coleman,1950,1956,7,448,11459,2071,4955,,,800,1159,,3712,1326,,,,1402,4942,.418,,.690,36.6,11.0,9.8,3.0,colemja01
83,Darren Collison,2015,2017,3,187,5847,977,2040,220,553,486,581,70,464,882,210,27,356,356,2660,.479,.398,.836,31.3,14.2,2.5,4.7,collida01
84,Steve Colter,1991,1991,1,19,251,23,56,5,14,7,10,5,26,37,11,1,11,27,58,.411,.357,.700,13.2,3.1,1.4,1.9,coltest01
85,Marty Conlon,1993,1993,1,46,467,81,171,0,4,57,81,48,123,37,13,5,28,43,219,.474,.000,.704,10.2,4.8,2.7,0.8,conloma01
86,David Cooke,1986,1986,1,6,38,2,11,0,0,5,10,5,10,1,4,0,2,5,9,.182,,.500,6.3,1.5,1.7,0.2,cookeda01
87,Jack Cooley,2018,2018,1,7,87,13,27,0,0,14,19,14,30,6,1,0,3,13,40,.481,,.737,12.4,5.7,4.3,0.9,cooleja01
88,Tyrone Corbin,1996,2000,2,103,1871,205,506,11,56,110,131,95,344,121,83,22,79,195,531,.405,.196,.840,18.2,5.2,3.3,1.2,corbity01
89,DeMarcus Cousins,2011,2017,7,470,14996,3557,7746,176,546,2604,3546,1380,5056,1402,661,558,1624,1808,9894,.459,.322,.734,31.9,21.1,10.8,3.0,couside01
90,Bob Cousy,1970,1970,1,7,34,1,3,,,3,3,,5,10,,,,11,5,.333,,1.000,4.9,0.7,0.7,1.4,cousybo01
91,Terry Crosby,1980,1980,1,4,28,2,4,0,0,2,2,0,1,7,0,0,5,4,6,.500,,1.000,7.0,1.5,0.3,1.8,crosbte01
92,Pete Cross,1973,1973,1,3,24,0,4,,,0,0,,4,0,,,,5,0,.000,,,8.0,0.0,1.3,0.0,crosspe01
93,Jared Cunningham,2014,2014,1,8,58,5,19,1,6,13,14,1,5,5,3,0,0,13,24,.263,.167,.929,7.3,3.0,0.6,0.6,cunnija01
94,Fran Curran,1949,1950,2,123,,159,403,,,284,367,,,149,,,,231,602,.395,,.774,,4.9,,1.2,currafr01
95,Seth Curry,2016,2016,1,44,692,102,224,50,111,45,54,9,60,67,22,3,36,41,299,.455,.450,.833,15.7,6.8,1.4,1.5,curryse01
96,Mike D'Antoni,1974,1976,3,128,1849,183,466,,,63,85,41,184,246,152,27,,236,429,.393,,.741,14.4,3.4,1.4,1.9,dantomi01
97,Samuel Dalembert,2011,2011,1,80,1938,268,567,0,2,108,148,212,657,67,36,116,132,225,644,.473,.000,.730,24.2,8.1,8.2,0.8,dalemsa01
98,Erik Daniels,2005,2005,1,21,72,6,18,1,2,0,0,7,18,4,2,0,6,7,13,.333,.500,,3.4,0.6,0.9,0.2,danieer01
99,Lloyd Daniels,1997,1997,1,5,28,2,16,2,11,0,0,1,4,1,1,0,3,4,6,.125,.182,,5.6,1.2,0.8,0.2,daniell01
100,Bob Davies,1949,1955,7,462,8617,2292,6067,,,2010,2647,,980,2250,,,,1566,6594,.378,,.759,31.3,14.3,2.9,4.9,daviebo01
101,Ralph Davis,1961,1961,1,73,1210,181,451,,,34,52,,86,177,,,,127,396,.401,,.654,16.6,5.4,1.2,2.4,davisra01
102,Red Davis,1956,1956,1,3,16,0,6,,,2,2,,4,1,,,,2,2,.000,,1.000,5.3,0.7,1.3,0.3,davisre01
103,Terence Davis,2021,2023,3,121,1958,375,877,192,537,99,124,42,321,153,95,30,120,223,1041,.428,.358,.798,16.2,8.6,2.7,1.3,daviste02
104,Tony Dawson,1991,1991,1,4,17,4,7,1,1,0,0,2,2,0,0,0,1,0,9,.571,1.000,,4.3,2.3,0.5,0.0,dawsoto01
105,Dewayne Dedmon,2020,2020,1,34,541,69,171,14,71,23,28,46,167,15,15,26,47,93,175,.404,.197,.821,15.9,5.1,4.9,0.4,dedmode01
106,Archie Dees,1959,1959,1,68,1252,200,562,,,159,204,,339,56,,,,114,559,.356,,.779,18.4,8.2,5.0,0.8,deesar01
107,Terry Dehere,1998,1999,2,81,1430,184,462,51,137,79,99,23,108,197,54,4,98,152,498,.398,.372,.798,17.7,6.1,1.3,2.4,deherte01
108,Vinny Del Negro,1989,1990,2,156,3414,536,1146,16,52,220,255,87,369,456,129,24,188,342,1308,.468,.308,.863,21.9,8.4,2.4,2.9,delnevi01
109,Tony Delk,2000,2000,1,46,682,120,279,9,40,47,59,36,88,55,35,5,32,58,296,.430,.225,.797,14.8,6.4,1.9,1.2,delkto01
110,Matthew Dellavedova,2023,2023,1,32,213,17,50,9,27,4,7,1,13,41,7,0,10,20,47,.340,.333,.571,6.7,1.5,0.4,1.3,dellama01
111,Kenny Dennard,1982,1983,2,52,831,73,155,0,0,32,49,67,185,48,51,9,40,108,178,.471,,.653,16.0,3.4,3.6,0.9,dennake01
112,Connie Dierking,1966,1971,6,374,10335,2039,4706,,,894,1197,,2984,784,,,,1264,4972,.433,,.747,27.6,13.3,8.0,2.1,dierkco01
113,Bill Dinwiddie,1968,1969,2,136,1899,265,710,,,107,189,,479,86,,,,268,637,.373,,.566,14.0,4.7,3.5,0.6,dinwibi01
114,Ike Diogu,2009,2009,1,10,142,33,55,1,2,25,33,14,39,3,2,1,6,14,92,.600,.500,.758,14.2,9.2,3.9,0.3,dioguik01
115,Vlade Divac,1999,2004,6,454,13676,1967,4115,33,134,1209,1789,1019,3538,1693,453,523,996,1349,5176,.478,.246,.676,30.1,11.4,7.8,3.7,divacvl01
116,Donte DiVincenzo,2022,2022,1,25,665,79,218,53,144,47,56,22,110,89,37,5,44,43,258,.362,.368,.839,26.6,10.3,4.4,3.6,divindo01
