,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
148,Devin Gray,2000,2000,1,21,124,15,37,0,0,19,29,11,25,5,5,3,4,22,49,.405,,.655,5.9,2.3,1.2,0.2,grayde01
149,Gerald Green,2008,2019,3,115,2406,402,994,266,739,108,128,47,317,65,57,42,86,215,1178,.404,.360,.844,20.9,10.2,2.8,0.6,greenge01
150,Jalen Green,2022,2023,2,143,4740,972,2313,344,1012,552,699,76,510,457,103,36,335,234,2840,.420,.340,.790,33.1,19.9,3.6,3.2,greenja05
151,Jeff Green,2020,2020,1,18,407,84,149,28,79,24,28,10,52,30,14,9,15,43,220,.564,.354,.857,22.6,12.2,2.9,1.7,greenje02
152,Johnny Green,1968,1968,1,42,1073,241,526,,,100,212,,423,59,,,,112,582,.458,,.472,25.5,13.9,10.1,1.4,greenjo01
153,Adrian Griffin,2004,2004,1,19,133,5,18,1,2,0,4,1,19,10,7,2,3,17,11,.278,.500,.000,7.0,0.6,1.0,0.5,griffad01
154,Eddie Griffin,2002,2003,2,150,3786,515,1344,154,465,122,180,255,877,139,69,245,123,253,1306,.383,.331,.678,25.2,8.7,5.8,0.9,griffed01
155,Matt Guokas,1974,1974,1,39,1007,93,203,,,21,28,17,60,133,27,14,,73,207,.458,,.750,25.8,5.3,1.5,3.4,guokama02
156,Jordan Hamilton,2014,2014,1,21,349,48,122,25,69,17,20,9,61,18,13,7,19,36,138,.393,.362,.850,16.6,6.6,2.9,0.9,hamiljo02
157,Thomas Hamilton,2000,2000,1,22,273,35,79,0,0,12,23,31,90,15,4,14,28,25,82,.443,,.522,12.4,3.7,4.1,0.7,hamilth01
158,James Harden,2013,2021,9,621,23006,5391,12169,2029,5602,5554,6444,538,3736,4796,1087,390,2763,1661,18365,.443,.362,.862,37.0,29.6,6.0,7.7,hardeja01
159,Montrezl Harrell,2016,2017,2,97,1443,283,435,1,8,100,167,106,284,81,31,53,61,174,667,.651,.125,.599,14.9,6.9,2.9,0.8,harremo01
160,Othella Harrington,1997,1999,3,156,2666,397,774,0,4,229,325,220,651,57,28,74,165,327,1023,.513,.000,.705,17.1,6.6,4.2,0.4,harriot01
161,Mike Harris,2008,2011,3,29,257,40,87,0,3,15,26,35,79,7,10,5,19,28,95,.460,.000,.577,8.9,3.3,2.7,0.2,harrimi01
162,Steve Harris,1986,1988,3,145,1855,388,918,1,14,176,200,108,248,167,66,22,114,181,953,.423,.071,.880,12.8,6.6,1.7,1.2,harrist01
163,Isaiah Hartenstein,2019,2020,2,51,487,64,108,2,11,30,42,50,137,33,16,24,29,97,160,.593,.182,.714,9.5,3.1,2.7,0.6,harteis01
164,Steve Hawes,1975,1976,2,61,948,145,292,,,45,55,85,293,98,36,36,,105,335,.497,,.818,15.5,5.5,4.8,1.6,hawesst01
165,Juaquin Hawkins,2003,2003,1,58,685,57,148,10,24,10,20,16,78,47,29,6,29,57,134,.385,.417,.500,11.8,2.3,1.3,0.8,hawkiju01
166,Chuck Hayes,2006,2016,7,426,8558,812,1568,0,10,234,387,847,2449,537,367,186,326,1128,1858,.518,.000,.605,20.1,4.4,5.7,1.3,hayesch01
167,Elvin Hayes,1969,1984,7,572,20782,4725,10614,2,11,2310,3500,553,6974,1104,128,213,490,1636,11762,.445,,.660,36.3,20.6,12.2,1.9,hayesel01
168,Luther Head,2006,2009,4,255,6222,805,1908,383,977,249,325,85,680,582,215,24,342,392,2242,.422,.392,.766,24.4,8.8,2.7,2.3,headlu01
169,Alvin Heggs,1996,1996,1,4,14,3,5,0,0,2,3,1,2,0,0,0,0,0,8,.600,,.667,3.5,2.0,0.5,0.0,heggsal01
170,Gerald Henderson,1992,1992,1,8,34,4,11,0,3,4,6,1,2,5,0,0,4,4,12,.364,.000,.667,4.3,1.5,0.3,0.6,hendege01
171,Tom Henderson,1980,1983,4,258,5472,581,1321,0,9,284,379,115,422,1025,200,17,350,395,1446,.440,.000,.749,21.2,5.6,1.6,4.0,hendeto01
172,Conner Henry,1987,1987,1,18,92,8,33,1,11,7,10,0,7,8,3,0,9,7,24,.242,.091,.700,5.1,1.3,0.4,0.4,henryco01
173,Carl Herrera,1992,1995,4,260,4989,636,1242,0,5,292,434,380,1116,169,135,124,269,545,1564,.512,.000,.673,19.2,6.0,4.3,0.7,herreca01
174,Phil Hicks,1977,1977,1,2,7,0,2,,,0,0,1,1,1,1,0,,1,0,.000,,,3.5,0.0,0.5,0.5,hicksph01
175,Nenê,2017,2019,3,161,2502,441,752,3,14,215,351,183,581,136,102,68,122,373,1100,.586,.214,.613,15.5,6.8,3.6,0.8,hilarne01
176,Jordan Hill,2010,2012,3,127,1966,299,596,0,5,116,171,219,575,56,27,85,104,272,714,.502,.000,.678,15.5,5.6,4.5,0.4,hilljo01
177,Lionel Hollins,1985,1985,1,80,1950,249,540,3,13,108,136,33,173,417,78,10,170,187,609,.461,.231,.794,24.4,7.6,2.2,5.2,hollili01
178,Robert Horry,1993,1996,4,295,9408,1185,2653,284,798,455,613,419,1568,919,409,343,575,754,3109,.447,.356,.742,31.9,10.5,5.3,3.1,horryro01
179,Danuel House Jr.,2019,2022,4,154,4057,483,1137,267,723,187,243,104,582,213,113,66,143,295,1420,.425,.369,.770,26.3,9.2,3.8,1.4,houseda01
180,Dwight Howard,2014,2016,3,183,5899,1096,1823,3,15,724,1383,579,2132,279,157,294,510,596,2919,.601,.200,.523,32.2,16.0,11.7,1.5,howardw01
181,Juwan Howard,2005,2007,3,221,6284,947,2065,0,5,406,494,432,1351,337,110,21,324,583,2300,.459,.000,.822,28.4,10.4,6.1,1.5,howarju01
182,William Howard,2020,2020,1,2,13,0,4,0,4,0,0,0,2,1,0,0,1,1,0,.000,.000,,6.5,0.0,1.0,0.5,howarwi01
183,Trevor Hudgins,2023,2023,1,5,28,2,9,2,8,3,3,0,0,3,0,0,1,1,9,.222,.250,1.000,5.6,1.8,0.0,0.6,hudgitr01
