,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
260,Kelly Tripucka,1989,1991,3,227,5995,1197,2656,83,233,902,1026,207,765,607,196,45,504,546,3379,.451,.356,.879,26.4,14.9,3.4,2.7,tripuke01
261,Andre Turner,1990,1990,1,8,84,9,25,0,1,4,4,1,3,20,7,0,8,5,22,.360,.000,1.000,10.5,2.8,0.4,2.5,turnean01
262,Noah Vonleh,2015,2015,1,25,259,30,76,5,13,18,26,28,86,4,4,9,11,20,83,.395,.385,.692,10.4,3.3,3.4,0.2,vonleno01
263,Jake Voskuhl,2006,2007,2,124,1861,235,516,1,3,118,173,146,439,83,56,47,89,356,589,.455,.333,.682,15.0,4.8,3.5,0.7,voskuja01
264,Kemba Walker,2012,2019,8,605,20607,4164,9962,1283,3589,2398,2871,349,2317,3308,799,233,1317,911,12009,.418,.357,.835,34.1,19.8,3.8,5.5,walkeke02
265,Gerald Wallace,2005,2011,7,454,16718,2586,5422,267,830,1998,2752,775,3398,1100,827,531,1024,1254,7437,.477,.322,.726,36.8,16.4,7.5,2.4,wallage01
266,Brad Wanamaker,2021,2021,1,22,428,54,126,3,24,40,45,10,39,75,17,5,34,39,151,.429,.125,.889,19.5,6.9,1.8,3.4,wanambr01
267,Hakim Warrick,2013,2013,1,27,482,66,163,0,3,58,86,21,89,25,12,6,29,37,190,.405,.000,.674,17.9,7.0,3.3,0.9,warriha01
268,P.J. Washington,2020,2023,4,260,7861,1254,2785,457,1249,381,536,306,1429,606,243,263,413,674,3346,.450,.366,.711,30.2,12.9,5.5,2.3,washipj01
269,Briante Weber,2017,2017,1,13,159,20,46,1,7,9,13,8,22,16,9,0,5,12,50,.435,.143,.692,12.2,3.8,1.7,1.2,weberbr01
270,David Wesley,1998,2002,5,362,13046,1920,4513,390,1102,1011,1281,219,966,1911,551,82,817,912,5241,.425,.354,.789,36.0,14.5,2.7,5.3,wesleda01
271,D.J. White,2011,2014,3,84,1574,255,508,1,3,84,115,81,317,62,24,35,50,141,595,.502,.333,.730,18.7,7.1,3.8,0.7,whitedj01
272,Jahidi White,2005,2005,1,17,135,14,31,0,0,14,40,11,34,1,2,12,11,31,42,.452,,.350,7.9,2.5,2.0,0.1,whiteja01
273,Eric Williams,2007,2007,1,5,33,4,13,0,2,4,7,2,3,1,1,0,2,6,12,.308,.000,.571,6.6,2.4,0.6,0.2,willier01
274,Lorenzo Williams,1993,1994,2,3,37,1,4,0,0,0,0,3,13,0,1,4,3,6,2,.250,,,12.3,0.7,4.3,0.0,willilo01
275,Mark Williams,2023,2023,1,43,828,160,251,0,0,67,97,93,304,18,28,45,40,94,387,.637,,.691,19.3,9.0,7.1,0.4,willima07
276,Marvin Williams,2015,2020,6,429,11615,1472,3371,681,1801,524,640,439,2293,545,338,287,320,756,4149,.437,.378,.819,27.1,9.7,5.3,1.3,willima02
277,Micheal Williams,1990,1990,1,22,303,58,109,0,3,35,44,11,31,77,22,1,28,39,151,.532,.000,.795,13.8,6.9,1.4,3.5,willimi02
278,Mo Williams,2015,2015,1,27,831,161,413,60,178,83,93,9,76,163,16,6,70,59,465,.390,.337,.892,30.8,17.2,2.8,6.0,willima01
279,Reggie Williams,2012,2013,2,73,1127,163,387,55,179,39,61,35,144,99,32,4,52,53,420,.421,.307,.639,15.4,5.8,2.0,1.4,willire02
280,Travis Williams,1998,1999,2,47,427,62,132,0,1,27,50,59,111,22,20,6,36,65,151,.470,.000,.540,9.1,3.2,2.4,0.5,willitr01
281,David Wingate,1993,1995,3,174,2991,366,741,9,40,131,182,90,368,343,127,21,169,280,872,.494,.225,.720,17.2,5.0,2.1,2.0,wingada01
282,Joe Wolf,1995,1999,3,67,613,38,83,2,6,12,18,34,132,37,11,6,24,109,90,.458,.333,.667,9.1,1.3,2.0,0.6,wolfjo01
283,Christian Wood,2017,2017,1,13,107,12,23,0,5,11,15,14,29,2,3,6,7,11,35,.522,.000,.733,8.2,2.7,2.2,0.2,woodch01
284,Cody Zeller,2014,2021,8,467,10618,1535,2961,32,141,960,1316,944,2824,669,312,315,503,1225,4062,.518,.227,.729,22.7,8.7,6.0,1.4,zelleco01
285,George Zídek,1996,1997,2,107,1176,138,333,0,2,96,125,94,246,25,13,10,61,214,372,.414,.000,.768,11.0,3.5,2.3,0.2,zidekge01
