,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,-9999
63,Tom Chambers,1982,1983,2,160,5347,1073,2155,0,10,637,946,429,1080,338,137,103,454,674,2783,.498,.000,.673,33.4,17.4,6.8,2.1,chambto01
64,Wilson Chandler,2019,2019,1,15,226,23,66,13,40,5,7,4,47,10,3,3,7,29,64,.348,.325,.714,15.1,4.3,3.1,0.7,chandwi01
65,Ken Charles,1974,1976,3,219,4630,656,1419,,,334,430,151,448,429,241,78,,513,1646,.462,,.777,21.1,7.5,2.0,2.0,charlke01
66,Pete Chilcutt,2000,2000,1,24,347,31,63,5,16,6,6,27,79,16,10,6,11,39,73,.492,.313,1.000,14.5,3.0,3.3,0.7,chilcpe01
67,Doug Christie,2007,2007,1,7,82,5,17,1,6,2,3,3,11,8,3,1,5,11,13,.294,.167,.667,11.7,1.9,1.6,1.1,chrisdo01
68,Keith Closs,1998,2000,3,130,1647,201,427,0,4,100,165,133,372,44,28,163,78,167,502,.471,.000,.606,12.7,3.9,2.9,0.3,closske01
69,Amir Coffey,2020,2023,4,181,2745,335,768,136,369,183,229,57,310,213,60,22,89,187,989,.436,.369,.799,15.2,5.5,1.7,1.2,coffeam01
70,Norris Coleman,1988,1988,1,29,431,66,191,1,2,20,36,36,81,13,11,6,16,51,153,.346,.500,.556,14.9,5.3,2.8,0.4,colemno01
71,James Collins,1998,1998,1,23,103,21,55,9,20,8,14,7,14,3,6,3,8,12,59,.382,.450,.571,4.5,2.6,0.6,0.1,collija01
72,Jarron Collins,2011,2011,1,23,157,5,15,0,0,7,10,7,17,1,4,1,5,24,17,.333,,.700,6.8,0.7,0.7,0.0,collija03
73,Mardy Collins,2009,2010,2,82,1285,144,352,17,45,37,58,42,149,145,52,11,85,118,342,.409,.378,.638,15.7,4.2,1.8,1.8,collima01
