Player\Team,ATL,BKN,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOH,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
Anthony Bowie,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,52,#N/A,43,#N/A,#N/A,#N/A,#N/A,39,#N/A,#N/A,#N/A
Freddie Boyd,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,41,#N/A,#N/A,#N/A,#N/A,#N/A,39,#N/A
Mookie Blaylock,40,41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,44,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Larry Bird,#N/A,#N/A,40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Scott Burrell,#N/A,70,#N/A,40,67,#N/A,#N/A,#N/A,#N/A,70,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Tommie Bowens,#N/A,46,#N/A,#N/A,#N/A,#N/A,#N/A,40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Buddy Boeheim,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gale Bishop,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jim Brogan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Nick Calathes,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Tony Campbell,#N/A,#N/A,#N/A,#N/A,#N/A,53,58,#N/A,71,#N/A,#N/A,#N/A,#N/A,77,#N/A,#N/A,#N/A,40,#N/A,85,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gary Clark,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,72,#N/A,#N/A,86,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,40,#N/A,#N/A,61,93,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Charlie Brown Jr.,56,#N/A,#N/A,#N/A,#N/A,#N/A,41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,40,#N/A,56,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ira Bowman,44,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Mikal Bridges,#N/A,54,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gary Bradds,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,40,#N/A,#N/A,48
Chris Boucher,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,53,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,40,#N/A,#N/A
Ken Boyd,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,40,#N/A
Bogdan Bogdanović,41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,43,#N/A,#N/A,#N/A,#N/A
Willie Burton,66,#N/A,#N/A,41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,68,#N/A,#N/A,#N/A,55,#N/A,#N/A,#N/A
Keith Booth,#N/A,#N/A,#N/A,#N/A,41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Michael Brooks,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,47,#N/A,#N/A,#N/A,41,42,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brian Cardinal,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,59,#N/A,72,75,#N/A,#N/A,#N/A,#N/A,41,#N/A,#N/A,42,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,67
Isaiah Canaan,#N/A,#N/A,#N/A,#N/A,71,#N/A,#N/A,#N/A,#N/A,#N/A,71,#N/A,#N/A,#N/A,#N/A,#N/A,59,41,#N/A,#N/A,#N/A,#N/A,75,59,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ian Clark,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,73,#N/A,87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65,#N/A
Gary Bergen,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Fred Brown,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jordan Bone,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,44,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Malaki Branham,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,41,#N/A,#N/A,#N/A
Michael Bradley,50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,45,43,#N/A,#N/A,48,#N/A,41,#N/A,#N/A
George Bon Salle,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,41
Don Boven,42,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,46,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Kedrick Brown,#N/A,#N/A,62,#N/A,#N/A,42,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,58,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jim Bradley,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,42,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Doug Bolstorff,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,42,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Phil Bond,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,42,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Kendall Brown,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,42,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Rodney Carney,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,76,#N/A,#N/A,#N/A,#N/A,42,#N/A,#N/A,43,#N/A,#N/A,#N/A,#N/A,77,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Caron Butler,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,52,#N/A,63,#N/A,#N/A,#N/A,53,66,#N/A,42,57,#N/A,#N/A,#N/A,47,#N/A,#N/A,#N/A,#N/A,66,#N/A,#N/A,#N/A,61
Speedy Claxton,87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,88,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,42,#N/A,#N/A,#N/A,94,#N/A,#N/A,#N/A,70,#N/A,#N/A,#N/A
Moses Brown,#N/A,60,#N/A,#N/A,#N/A,43,43,#N/A,#N/A,#N/A,#N/A,#N/A,44,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,42,#N/A,#N/A,#N/A,45,#N/A,#N/A,#N/A,#N/A,#N/A
Anthony Bonner,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,49,#N/A,42,#N/A,#N/A,#N/A,44,#N/A,#N/A,#N/A,#N/A
Craig Brackins,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,42,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bucky Bockhorn,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,42,#N/A,#N/A,#N/A,#N/A
Jarrell Brantley,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,42,#N/A
Cal Bowdler,43,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Vernon Carey Jr.,#N/A,#N/A,#N/A,43,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,68
Christian Braun,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,43,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Roger Brown,#N/A,#N/A,#N/A,#N/A,57,#N/A,#N/A,51,56,#N/A,#N/A,43,#N/A,55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,49,#N/A,#N/A,#N/A
Antoine Carr,74,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,73,#N/A,#N/A,#N/A,43,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70,61,#N/A,56,#N/A
Norris Cole,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,51,#N/A,#N/A,43,#N/A,59,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Tony Brown,#N/A,62,#N/A,#N/A,59,#N/A,#N/A,#N/A,#N/A,#N/A,62,44,45,59,#N/A,#N/A,54,#N/A,#N/A,#N/A,43,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,50,#N/A
Dee Brown,#N/A,#N/A,60,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,49,#N/A,43,#N/A,#N/A,#N/A,46,45,53
Greg Brown III,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,43,#N/A,#N/A,#N/A,#N/A,#N/A
Matt Carroll,#N/A,#N/A,#N/A,44,#N/A,#N/A,61,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,55,#N/A,63,#N/A,#N/A,#N/A
Sterling Brown,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,44,#N/A,#N/A,#N/A,60,#N/A,#N/A,57,#N/A,#N/A,53,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
DeMarre Carroll,75,78,#N/A,#N/A,#N/A,#N/A,#N/A,65,#N/A,#N/A,74,#N/A,#N/A,#N/A,44,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,62,54,57,#N/A
Tim Breaux,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,50,#N/A,#N/A,#N/A,#N/A,#N/A,44,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Chris Carr,#N/A,76,72,#N/A,72,#N/A,#N/A,#N/A,#N/A,77,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,44,#N/A,#N/A,#N/A,#N/A,#N/A,60,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Darren Collison,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,73,#N/A,#N/A,#N/A,#N/A,62,74,100,#N/A,#N/A,#N/A,#N/A,44,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,83,#N/A,#N/A,#N/A,#N/A
Rick Brunson,#N/A,#N/A,65,#N/A,61,#N/A,#N/A,#N/A,#N/A,#N/A,63,#N/A,46,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,66,44,#N/A,#N/A,#N/A,46,#N/A,#N/A,48,#N/A,#N/A
Gerald Brown,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,44,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Marcus Brown,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,44,#N/A,#N/A,#N/A,#N/A,#N/A
Armoni Brooks,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,44,#N/A,#N/A
Donnie Boyce,45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Michael Carter-Williams,#N/A,#N/A,#N/A,45,75,#N/A,#N/A,#N/A,#N/A,#N/A,76,#N/A,#N/A,#N/A,#N/A,#N/A,63,#N/A,#N/A,#N/A,#N/A,55,80,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jalen Brunson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jim Bostic,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Quinn Buckner,#N/A,#N/A,68,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,45,#N/A,#N/A,#N/A,#N/A,56,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jevon Carter,#N/A,81,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,45,#N/A,62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jamal Cain,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Anthony Carter,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,67,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,46,#N/A,45,#N/A,87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,64,55,#N/A,#N/A
Quinn Cook,#N/A,#N/A,#N/A,#N/A,#N/A,71,74,#N/A,#N/A,96,#N/A,#N/A,#N/A,103,#N/A,#N/A,#N/A,#N/A,45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jerry Bird,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Tom Burleson,63,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,45,#N/A,#N/A,#N/A,#N/A,61,#N/A,#N/A,#N/A,#N/A
Damone Brown,#N/A,58,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,57,#N/A,#N/A,#N/A,#N/A,45,#N/A,52
Lawrence Boston,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,45
Harry Boykoff,46,#N/A,50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Josh Boone,#N/A,45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Tom Chambers,#N/A,#N/A,#N/A,46,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,63,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,53,#N/A,86,68,#N/A,#N/A,#N/A,#N/A,60,#N/A
Mark Bryant,#N/A,#N/A,67,#N/A,62,46,47,52,#N/A,#N/A,65,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,63,49,47,#N/A,51,#N/A,#N/A,#N/A
Nicolás Brussino,61,#N/A,#N/A,#N/A,#N/A,#N/A,46,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Kevin Brooks,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,46,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Nelson Bobb,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,46,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Vince Carter,76,82,#N/A,#N/A,#N/A,#N/A,63,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,46,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,53,#N/A,63,#N/A,71,#N/A,56,#N/A,#N/A
Sam Cassell,#N/A,83,74,#N/A,#N/A,#N/A,64,#N/A,#N/A,#N/A,77,#N/A,59,#N/A,#N/A,#N/A,64,46,#N/A,#N/A,#N/A,#N/A,#N/A,64,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Charles Cooke,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,46,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Deonte Burton,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,46,#N/A,#N/A,#N/A,#N/A,64,#N/A,#N/A,#N/A,#N/A
Ignas Brazdeikis,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,57,#N/A,46,50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Mark Bradtke,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,46,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Mike Brittain,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,46,#N/A,#N/A,#N/A
Cedric Bozeman,47,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Alec Burks,#N/A,#N/A,#N/A,#N/A,#N/A,47,#N/A,#N/A,60,69,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,75,#N/A,#N/A,67,#N/A,#N/A,60,#N/A,#N/A,52,#N/A
